TreeID,Dist,Region,RegionRemark,TreeType,Diameter_cm,TreeHeight_m,SurveyDate,TWD97X,TWD97Y,elev_m,elev_band,height_valid,diameter_valid,within_taipei,analysis_ready
SL0174310030,士林區,環河北路三段,,芒果,19.37,7.8,2022-08-30,300648.31,2775747.45,5.0,都市平地,1,1,1,1
SL0174310031,士林區,環河北路三段,,蛋黃果,6.7,4,2022-08-30,300617.63,2775777.8,5.0,都市平地,1,1,1,1
SL0174310032,士林區,環河北路三段,,龍眼,10,7.5,2022-08-30,300650.53,2775745.1,5.0,都市平地,1,1,1,1
SL0174310033,士林區,環河北路三段,,楊桃,12.4,7.1,2022-08-30,300616.29,2775778.59,5.0,都市平地,1,1,1,1
SL0174310034,士林區,環河北路三段,,芒果,10.9,6.8,2022-08-30,300637.48,2775757.84,5.0,都市平地,1,1,1,1
SL0174310035,士林區,環河北路三段,,楊桃,9.3,6.6,2022-08-30,300632.94,2775762.3,5.0,都市平地,1,1,1,1
SL0174310036,士林區,環河北路三段,,楊桃,7.8,10.5,2022-08-30,300636.72,2775758.81,5.0,都市平地,1,1,1,1
SL0174310037,士林區,環河北路三段,,臺灣欒樹,8.29,7.2,2022-08-30,300624.73,2775774.32,5.0,都市平地,1,1,1,1
SL0174310038,士林區,環河北路三段,,樟樹,18,9.8,2022-08-30,300609.89,2775794.53,5.0,都市平地,1,1,1,1
SL0174310039,士林區,環河北路三段,,無患子,13.5,8.6,2022-08-30,300601.94,2775799.84,5.0,都市平地,1,1,1,1
SL0174310040,士林區,環河北路三段,,芒果,11.9,8.3,2022-08-30,300640.84,2775754.7,5.0,都市平地,1,1,1,1
SL0174310041,士林區,環河北路三段,,柚子,7.22,4.5,2022-08-30,300636.04,2775759.22,5.0,都市平地,1,1,1,1
SL0174311001,士林區,環河北路三段,安全島,桃花心木,48,11.5,2022-08-02,300581.49,2775860.76,4.0,都市平地,1,1,1,1
SL0174311002,士林區,環河北路三段,安全島,桃花心木,29.5,10.8,2022-08-02,300584.82,2775857.91,4.0,都市平地,1,1,1,1
SL0174311003,士林區,環河北路三段,安全島,桃花心木,35,9.5,2022-08-02,300594.12,2775849.16,4.0,都市平地,1,1,1,1
SL0174311004,士林區,環河北路三段,安全島,桃花心木,32.2,8.9,2022-08-02,300615.58,2775827.26,5.0,都市平地,1,1,1,1
SL0174311005,士林區,環河北路三段,安全島,桃花心木,43.1,8.3,2022-08-02,300628.65,2775813.57,4.0,都市平地,1,1,1,1
SL0174311006,士林區,環河北路三段,安全島,桃花心木,30.2,11.4,2022-08-02,300634.95,2775808.87,4.0,都市平地,1,1,1,1
SL0174311007,士林區,環河北路三段,安全島,桃花心木,44.6,12.4,2022-08-02,300640.74,2775802.23,5.0,都市平地,1,1,1,1
SL0174311008,士林區,環河北路三段,安全島,桃花心木,35,11.7,2022-08-02,300645.44,2775796.97,5.0,都市平地,1,1,1,1
SL0174311009,士林區,環河北路三段,安全島,桃花心木,31,11.7,2022-08-02,300649.36,2775792.33,5.0,都市平地,1,1,1,1
SL0174311010,士林區,環河北路三段,安全島,桃花心木,49,8.3,2022-08-02,300652.71,2775789.98,5.0,都市平地,1,1,1,1
SL0174311011,士林區,環河北路三段,安全島,桃花心木,29,10.7,2022-08-02,300656.78,2775785.03,5.0,都市平地,1,1,1,1
SL0174311012,士林區,環河北路三段,安全島,桃花心木,31,9.8,2022-08-02,300675.73,2775764.63,5.0,都市平地,1,1,1,1
SL0174311013,士林區,環河北路三段,安全島,桃花心木,41.5,11.5,2022-08-02,300680.58,2775759.84,5.0,都市平地,1,1,1,1
SL0174311014,士林區,環河北路三段,安全島,桃花心木,32,10.6,2022-08-02,300697.79,2775743.93,5.0,都市平地,1,1,1,1
SL0174311015,士林區,環河北路三段,安全島,桃花心木,40.3,9.5,2022-08-02,300709.86,2775729.86,4.0,都市平地,1,1,1,1
SL0174311016,士林區,環河北路三段,安全島,桃花心木,32,10.9,2022-08-02,300718.62,2775721.05,4.0,都市平地,1,1,1,1
SL0174311017,士林區,環河北路三段,安全島,桃花心木,32.6,8.1,2022-08-02,300722.53,2775718.59,4.0,都市平地,1,1,1,1
SL0174311018,士林區,環河北路三段,安全島,桃花心木,36.5,12.4,2022-08-02,300725.51,2775715.03,4.0,都市平地,1,1,1,1
SL0174311019,士林區,環河北路三段,安全島,桃花心木,41.3,13.5,2022-08-02,300729.11,2775711.47,4.0,都市平地,1,1,1,1
SL0174311020,士林區,環河北路三段,安全島,桃花心木,30.7,6,2022-08-02,300732.71,2775706.52,4.0,都市平地,1,1,1,1
SL0174311021,士林區,環河北路三段,安全島,桃花心木,24,7.6,2022-08-02,300738.35,2775701.43,4.0,都市平地,1,1,1,1
SL0174311025,士林區,環河北路三段,安全島,桃花心木,18.5,7.1,2022-08-02,300755.37,2775683.99,5.0,都市平地,1,1,1,1
SL0174311026,士林區,環河北路三段,安全島,桃花心木,34.5,11.2,2022-08-02,300758.9,2775679.94,5.0,都市平地,1,1,1,1
SL0174311027,士林區,環河北路三段,安全島,桃花心木,28.4,8.1,2022-08-02,300772.62,2775666.12,4.0,都市平地,1,1,1,1
SL0174311029,士林區,環河北路三段,安全島,桃花心木,34,8.2,2022-08-02,300806.42,2775632.61,4.0,都市平地,1,1,1,1
SL0174311030,士林區,環河北路三段,安全島,桃花心木,34.3,9.3,2022-08-02,300825.45,2775609.17,4.0,都市平地,1,1,1,1
SL0174311031,士林區,環河北路三段,安全島,桃花心木,5.8,5,2022-08-02,300835.62,2775597.23,4.0,都市平地,1,1,1,1
SL0174311032,士林區,環河北路三段,安全島,桃花心木,4.6,4.1,2022-08-02,300845.71,2775587.09,4.0,都市平地,1,1,1,1
SL0174311033,士林區,環河北路三段,安全島,桃花心木,7,5,2022-08-02,300853.72,2775576.78,4.0,都市平地,1,1,1,1
SL0174311034,士林區,環河北路三段,安全島,榕樹,54.6,12.1,2022-08-02,300870.13,2775555.25,4.0,都市平地,1,1,1,1
SL0174311035,士林區,環河北路三段,安全島,榕樹,46.4,11.1,2022-08-02,300874.81,2775550.8,4.0,都市平地,1,1,1,1
SL0174311036,士林區,環河北路三段,安全島,榕樹,40.3,9,2022-08-02,300878.03,2775546.57,4.0,都市平地,1,1,1,1
SL0174311037,士林區,環河北路三段,安全島,榕樹,53.6,10,2022-08-02,300880.83,2775543.87,4.0,都市平地,1,1,1,1
SL0174311038,士林區,環河北路三段,安全島,榕樹,66.9,11.9,2022-08-02,300883.66,2775540.78,4.0,都市平地,1,1,1,1
SL0174311039,士林區,環河北路三段,安全島,榕樹,52,11.3,2022-08-02,300886.93,2775535.67,4.0,都市平地,1,1,1,1
SL0174311040,士林區,環河北路三段,安全島,榕樹,65,12,2022-08-02,300890.19,2775530.75,4.0,都市平地,1,1,1,1
SL0174311041,士林區,環河北路三段,安全島,榕樹,82.3,12.4,2022-08-02,300892.68,2775527.15,4.0,都市平地,1,1,1,1
SL0174311042,士林區,環河北路三段,安全島,榕樹,48.5,8.5,2022-08-02,300897.86,2775520.72,4.0,都市平地,1,1,1,1
SL0174311046,士林區,環河北路三段,安全島,桃花心木,29.5,8.1,2022-08-02,300916.69,2775495.24,4.0,都市平地,1,1,1,1
SL0174311047,士林區,環河北路三段,安全島,桃花心木,29.4,9.1,2022-08-02,300918.6,2775492.14,4.0,都市平地,1,1,1,1
SL0174311048,士林區,環河北路三段,安全島,桃花心木,19.6,7.9,2022-08-02,300921.53,2775487.45,4.0,都市平地,1,1,1,1
SL0174311049,士林區,環河北路三段,安全島,桃花心木,38.8,8,2022-08-02,300924.83,2775483.19,4.0,都市平地,1,1,1,1
SL0174311050,士林區,環河北路三段,安全島,桃花心木,25.6,10.4,2022-08-02,300928.58,2775479.2,4.0,都市平地,1,1,1,1
SL0174311051,士林區,環河北路三段,安全島,桃花心木,27.2,10,2022-08-02,300931.38,2775475.72,4.0,都市平地,1,1,1,1
SL0174311052,士林區,環河北路三段,安全島,桃花心木,48.2,14.5,2022-08-02,300933.97,2775470.6,4.0,都市平地,1,1,1,1
SL0174311053,士林區,環河北路三段,安全島,桃花心木,27.5,10.2,2022-08-02,300937.14,2775465.96,4.0,都市平地,1,1,1,1
SL0174311054,士林區,環河北路三段,安全島,桃花心木,24.3,10.9,2022-08-02,300940.62,2775461.13,4.0,都市平地,1,1,1,1
SL0174311055,士林區,環河北路三段,安全島,桃花心木,41.2,13.4,2022-08-02,300944.13,2775456.55,4.0,都市平地,1,1,1,1
SL0174311056,士林區,環河北路三段,安全島,桃花心木,36.3,13.6,2022-08-02,300947.05,2775452.23,4.0,都市平地,1,1,1,1
SL0174311057,士林區,環河北路三段,安全島,桃花心木,47.7,13.9,2022-08-02,300949.63,2775448.97,4.0,都市平地,1,1,1,1
SL0174311058,士林區,環河北路三段,安全島,桃花心木,23.8,11,2022-08-02,300955.48,2775442.86,4.0,都市平地,1,1,1,1
SL0174311059,士林區,環河北路三段,安全島,桃花心木,8,5.2,2022-08-02,300963.06,2775431.14,4.0,都市平地,1,1,1,1
SL0174311060,士林區,環河北路三段,安全島,桃花心木,32.5,9.4,2022-08-02,300972.13,2775413.49,4.0,都市平地,1,1,1,1
SL0174311061,士林區,環河北路三段,安全島,桃花心木,43.5,14.6,2022-08-02,300975.41,2775408.35,4.0,都市平地,1,1,1,1
SL0174311062,士林區,環河北路三段,安全島,桃花心木,47.4,16,2022-08-02,300989.41,2775385.51,3.0,都市平地,1,1,1,1
SL0174311063,士林區,環河北路三段,安全島,桃花心木,35.7,8.8,2022-08-01,301022.46,2775323.53,3.0,都市平地,1,1,1,1
SL0174311064,士林區,環河北路三段,安全島,桃花心木,34.6,11.2,2022-08-01,301025.28,2775318.04,3.0,都市平地,1,1,1,1
SL0174311065,士林區,環河北路三段,安全島,桃花心木,41.5,10.9,2022-08-01,301028.52,2775312.05,4.0,都市平地,1,1,1,1
SL0174311066,士林區,環河北路三段,安全島,桃花心木,28.8,13.3,2022-08-01,301042.41,2775289.58,5.0,都市平地,1,1,1,1
SL0174311067,士林區,環河北路三段,安全島,桃花心木,40.2,9.4,2022-08-01,301045.42,2775284.46,4.0,都市平地,1,1,1,1
SL0174311068,士林區,環河北路三段,安全島,桃花心木,39.9,14.5,2022-08-01,301049.95,2775276.71,4.0,都市平地,1,1,1,1
SL0174311069,士林區,環河北路三段,安全島,桃花心木,35.5,12.8,2022-08-01,301052.91,2775271.92,4.0,都市平地,1,1,1,1
SL0174311070,士林區,環河北路三段,安全島,桃花心木,38.1,13.6,2022-08-01,301056.74,2775265.8,4.0,都市平地,1,1,1,1
SL0174311071,士林區,環河北路三段,安全島,桃花心木,40.5,9.5,2022-08-01,301059.64,2775259.47,4.0,都市平地,1,1,1,1
SL0174311072,士林區,環河北路三段,安全島,桃花心木,44.5,13.7,2022-08-01,301063.47,2775252.82,4.0,都市平地,1,1,1,1
SL0174311073,士林區,環河北路三段,安全島,桃花心木,30,9.8,2022-08-01,301065,2775250.07,4.0,都市平地,1,1,1,1
SL0174311075,士林區,環河北路三段,安全島,桃花心木,43.9,11.9,2022-08-01,301067.75,2775244.42,4.0,都市平地,1,1,1,1
SL0174311076,士林區,環河北路三段,安全島,桃花心木,43.5,12.4,2022-08-01,301070.57,2775239.35,4.0,都市平地,1,1,1,1
SL0174311077,士林區,環河北路三段,安全島,桃花心木,47.1,12.5,2022-08-01,301074.14,2775234.24,5.0,都市平地,1,1,1,1
SL0174311078,士林區,環河北路三段,安全島,桃花心木,45.8,12.1,2022-08-01,301082.24,2775218.05,4.0,都市平地,1,1,1,1
SL0174311079,士林區,環河北路三段,安全島,桃花心木,31.5,7.4,2022-08-01,301085.94,2775210.48,4.0,都市平地,1,1,1,1
SL0174311080,士林區,環河北路三段,安全島,桃花心木,37.7,12.4,2022-08-01,301089.05,2775204.55,4.0,都市平地,1,1,1,1
SL0174311081,士林區,環河北路三段,安全島,桃花心木,35,12.1,2022-08-01,301092.8,2775196.23,4.0,都市平地,1,1,1,1
SL0174311082,士林區,環河北路三段,安全島,桃花心木,40.5,11.5,2022-08-01,301094.07,2775193.87,4.0,都市平地,1,1,1,1
SL0174311084,士林區,環河北路三段,安全島,桃花心木,43.3,11.8,2022-08-01,301100.64,2775178.72,3.0,都市平地,1,1,1,1
SL0174311085,士林區,環河北路三段,安全島,桃花心木,55.7,8.6,2022-08-01,301102.28,2775174.47,3.0,都市平地,1,1,1,1
SL0174311086,士林區,環河北路三段,安全島,桃花心木,48.8,11.3,2022-08-01,301109.16,2775161.24,3.0,都市平地,1,1,1,1
SL0174311087,士林區,環河北路三段,安全島,桃花心木,25.2,10.7,2022-08-01,301111.27,2775156.38,3.0,都市平地,1,1,1,1
SL0174311088,士林區,環河北路三段,安全島,桃花心木,26.1,10,2022-08-01,301114.37,2775149.33,3.0,都市平地,1,1,1,1
SL0174311089,士林區,環河北路三段,安全島,桃花心木,33.3,10.1,2022-08-01,301115.29,2775147.17,3.0,都市平地,1,1,1,1
SL0174311090,士林區,環河北路三段,安全島,桃花心木,40.7,11.1,2022-08-01,301117.19,2775143.4,3.0,都市平地,1,1,1,1
SL0174311091,士林區,環河北路三段,安全島,桃花心木,38.6,11.1,2022-08-01,301120.64,2775135.95,3.0,都市平地,1,1,1,1
SL0174311092,士林區,環河北路三段,安全島,桃花心木,32,10.89,2016-05-21,301134.75,2775105.42,3.0,都市平地,1,1,1,1
SL0174311093,士林區,環河北路三段,安全島,桃花心木,27.2,8.9,2022-08-02,301137.13,2775100.25,3.0,都市平地,1,1,1,1
SL0174311094,士林區,環河北路三段,安全島,桃花心木,39.1,10.7,2022-08-02,301138.32,2775094.42,2.0,都市平地,1,1,1,1
SL0174311095,士林區,環河北路三段,安全島,桃花心木,38.7,11.6,2022-08-02,301144.83,2775081.89,2.0,都市平地,1,1,1,1
SL0174311096,士林區,環河北路三段,安全島,桃花心木,37.9,10.7,2022-08-02,301161.4,2775047.79,2.0,都市平地,1,1,1,1
SL0174311097,士林區,環河北路三段,安全島,桃花心木,11.9,5.7,2022-08-02,301162.92,2775043.2,2.0,都市平地,1,1,1,1
SL0174311098,士林區,環河北路三段,安全島,桃花心木,42.2,9.3,2022-08-02,301170.08,2775026,2.0,都市平地,1,1,1,1
SL0174311099,士林區,環河北路三段,安全島,水黃皮,26.3,5.1,2022-08-02,301172.72,2775019.04,2.0,都市平地,1,1,1,1
SL0174311100,士林區,環河北路三段,安全島,水黃皮,27.6,6.8,2022-08-02,301174.86,2775012.49,2.0,都市平地,1,1,1,1
SL0174311101,士林區,環河北路三段,安全島,水黃皮,25.8,7.8,2022-08-02,301179.54,2775004.11,3.0,都市平地,1,1,1,1
SL0174311102,士林區,環河北路三段,安全島,水黃皮,22,6.1,2022-08-02,301184.98,2774985.8,2.0,都市平地,1,1,1,1
SL0174311103,士林區,環河北路三段,安全島,桃花心木,35.7,7.9,2022-08-02,301191.33,2774966.42,3.0,都市平地,1,1,1,1
SL0174321001,士林區,環河北路三段,東側人行道,榕樹,67,10.5,2022-08-02,301202.24,2774997.33,2.0,都市平地,1,1,1,1
SL0174321003,士林區,環河北路三段,東側人行道,榕樹,68.61,10.3,2022-08-02,301210.35,2774965.42,3.0,都市平地,1,1,1,1
SL0174321004,士林區,環河北路三段,東側人行道,雀榕,59.6,10.7,2022-08-02,301218.09,2774940.09,3.0,都市平地,1,1,1,1
SL0174321005-001,士林區,環河北路三段,環河北路三段海光公園旁,茄苳,6.2,3.7,2022-08-02,301221.19,2774929.96,3.0,都市平地,1,1,1,1
SL0174321006-001,士林區,環河北路三段,(海光公園)235電桿,茄苳,6,3,2018-10-15,301233.69,2774885.29,3.0,都市平地,1,1,1,1
SL0174321007,士林區,環河北路三段,東側人行道,臺灣欒樹,35.6,9.6,2022-08-02,301236.84,2774875.81,3.0,都市平地,1,1,1,1
SL0174321008,士林區,環河北路三段,東側人行道,臺灣欒樹,24.7,9.1,2022-08-02,301238.75,2774866.31,3.0,都市平地,1,1,1,1
SL0174321009,士林區,環河北路三段,東側人行道,臺灣欒樹,32.9,8.3,2022-08-02,301242.17,2774858.15,3.0,都市平地,1,1,1,1
SL0174321010,士林區,環河北路三段,東側人行道,榕樹,20.7,6.8,2022-08-02,301243.89,2774849.13,3.0,都市平地,1,1,1,1
SL0174331001,士林區,環河北路三段,西側人行道,木棉,35.2,13.8,2022-08-27,300579.25,2775821.21,5.0,都市平地,1,1,1,1
SL0174331002,士林區,環河北路三段,西側人行道,木棉,27.9,12.6,2022-08-27,300583.54,2775817.27,5.0,都市平地,1,1,1,1
SL0174331003,士林區,環河北路三段,西側人行道,白千層,29.3,10.8,2022-08-27,300575.2,2775819.7,5.0,都市平地,1,1,1,1
SL0174331004,士林區,環河北路三段,西側人行道,白千層,35,10.7,2022-08-27,300577.56,2775817.75,5.0,都市平地,1,1,1,1
SL0174331005,士林區,環河北路三段,西側人行道,白千層,34.4,10.9,2022-08-27,300579.48,2775815.8,5.0,都市平地,1,1,1,1
SL0174331006,士林區,環河北路三段,西側人行道,白千層,72.2,8,2022-08-01,300588.26,2775807.97,5.0,都市平地,1,1,1,1
SL0174331007,士林區,環河北路三段,西側人行道,白千層,29,7.2,2022-08-01,300590.06,2775805.15,5.0,都市平地,1,1,1,1
SL0174331008,士林區,環河北路三段,西側人行道,白千層,22.3,7.3,2022-08-01,300592.25,2775803.18,5.0,都市平地,1,1,1,1
SL0174331009,士林區,環河北路三段,西側人行道,白千層,40.2,10.7,2022-08-01,300594.48,2775801.45,5.0,都市平地,1,1,1,1
SL0174331010,士林區,環河北路三段,西側人行道,木棉,25.1,12.1,2022-08-27,300596.83,2775804.18,5.0,都市平地,1,1,1,1
SL0174331011,士林區,環河北路三段,西側人行道,白千層,26,4.5,2022-08-30,300599.98,2775796.27,5.0,都市平地,1,1,1,1
SL0174331012,士林區,環河北路三段,西側人行道,木棉,49,13,2022-08-31,300605.56,2775795.82,5.0,都市平地,1,1,1,1
SL0174331013,士林區,環河北路三段,西側人行道,白千層,36.5,10.4,2022-08-27,300601.65,2775794.48,5.0,都市平地,1,1,1,1
SL0174331014,士林區,環河北路三段,西側人行道,白千層,38.5,10.4,2022-08-27,300603.48,2775792.36,5.0,都市平地,1,1,1,1
SL0174331015,士林區,環河北路三段,西側人行道,木棉,30,8.7,2022-08-31,300609.84,2775791.48,5.0,都市平地,1,1,1,1
SL0174331016,士林區,環河北路三段,西側人行道,白千層,42.1,13.3,2022-08-30,300607.74,2775788.29,5.0,都市平地,1,1,1,1
SL0174331017,士林區,環河北路三段,西側人行道,白千層,23,9.5,2022-08-30,300610.41,2775786.25,5.0,都市平地,1,1,1,1
SL0174331018,士林區,環河北路三段,西側人行道,茄苳,43.1,8,2022-08-27,300618.51,2775793.01,5.0,都市平地,1,1,1,1
SL0174331019,士林區,環河北路三段,西側人行道,木棉,30,13.1,2022-08-30,300614.08,2775787.7,5.0,都市平地,1,1,1,1
SL0174331020,士林區,環河北路三段,西側人行道,白千層,35,11.8,2022-08-30,300612.17,2775783.45,5.0,都市平地,1,1,1,1
SL0174331021,士林區,環河北路三段,西側人行道,茄苳,35.2,9.3,2022-08-30,300621.92,2775789.69,5.0,都市平地,1,1,1,1
SL0174331022,士林區,環河北路三段,西側人行道,白千層,34,11.4,2022-08-30,300613.04,2775782.61,5.0,都市平地,1,1,1,1
SL0174331023,士林區,環河北路三段,西側人行道,木棉,32.5,12,2022-08-30,300618.33,2775783.34,5.0,都市平地,1,1,1,1
SL0174331024,士林區,環河北路三段,西側人行道,茄苳,36.3,9.4,2022-08-27,300625.67,2775786.3,4.0,都市平地,1,1,1,1
SL0174331025,士林區,環河北路三段,西側人行道,白千層,29.4,8.7,2022-08-30,300618.63,2775777.81,5.0,都市平地,1,1,1,1
SL0174331026,士林區,環河北路三段,西側人行道,木棉,24.7,12.2,2022-08-30,300622.49,2775779.49,5.0,都市平地,1,1,1,1
SL0174331027,士林區,環河北路三段,西側人行道,茄苳,33.9,10.7,2022-08-30,300629,2775781.88,4.0,都市平地,1,1,1,1
SL0174331028,士林區,環河北路三段,西側人行道,白千層,42.9,12.8,2022-08-30,300620.93,2775775.47,5.0,都市平地,1,1,1,1
SL0174331029,士林區,環河北路三段,西側人行道,白千層,31.8,8.7,2022-08-30,300623.03,2775773.48,5.0,都市平地,1,1,1,1
SL0174331030,士林區,環河北路三段,西側人行道,木棉,26.6,13.3,2022-08-30,300626.8,2775775.15,5.0,都市平地,1,1,1,1
SL0174331031,士林區,環河北路三段,西側人行道,茄苳,20,9.4,2022-08-27,300631.64,2775778.72,5.0,都市平地,1,1,1,1
SL0174331032,士林區,環河北路三段,西側人行道,白千層,49.2,13.4,2022-08-30,300624.81,2775771.46,5.0,都市平地,1,1,1,1
SL0174331033,士林區,環河北路三段,西側人行道,美人樹,24.1,7.2,2022-08-30,300627.02,2775769.51,5.0,都市平地,1,1,1,1
SL0174331034,士林區,環河北路三段,西側人行道,茄苳,47.1,12.3,2022-08-27,300634.26,2775776.65,5.0,都市平地,1,1,1,1
SL0174331035,士林區,環河北路三段,西側人行道,木棉,34.8,13.2,2022-08-30,300630.99,2775770.85,5.0,都市平地,1,1,1,1
SL0174331036,士林區,環河北路三段,西側人行道,白千層,35.2,11.1,2022-08-30,300629.53,2775767.53,5.0,都市平地,1,1,1,1
SL0174331037,士林區,環河北路三段,西側人行道,美人樹,24.5,7.2,2022-08-30,300630.95,2775767.97,5.0,都市平地,1,1,1,1
SL0174331038,士林區,環河北路三段,西側人行道,茄苳,39.3,11.9,2022-08-27,300638.24,2775771.57,5.0,都市平地,1,1,1,1
SL0174331039,士林區,環河北路三段,西側人行道,白千層,30.2,9.4,2022-08-30,300631.74,2775765.44,5.0,都市平地,1,1,1,1
SL0174331040,士林區,環河北路三段,西側人行道,木棉,29.8,11.8,2022-08-30,300634.73,2775766.87,5.0,都市平地,1,1,1,1
SL0174331041,士林區,環河北路三段,西側人行道,白千層,42.5,11.4,2022-08-30,300633.73,2775763.3,5.0,都市平地,1,1,1,1
SL0174331042,士林區,環河北路三段,西側人行道,茄苳,29.8,9.1,2022-08-30,300636.21,2775764.72,5.0,都市平地,1,1,1,1
SL0174331043,士林區,環河北路三段,西側人行道,茄苳,31.5,11.4,2022-08-27,300640.91,2775768.74,5.0,都市平地,1,1,1,1
SL0174331044,士林區,環河北路三段,西側人行道,木棉,32.5,11.8,2022-08-30,300639.03,2775762.52,5.0,都市平地,1,1,1,1
SL0174331045,士林區,環河北路三段,西側人行道,茄苳,43.5,11.5,2022-08-27,300643.82,2775766.28,5.0,都市平地,1,1,1,1
SL0174331046,士林區,環河北路三段,西側人行道,白千層,22.2,10.9,2022-08-30,300638.21,2775758.59,5.0,都市平地,1,1,1,1
SL0174331047,士林區,環河北路三段,西側人行道,茄苳,36.6,11.7,2022-08-30,300642.19,2775759.8,5.0,都市平地,1,1,1,1
SL0174331048,士林區,環河北路三段,西側人行道,白千層,37.1,13,2022-08-30,300639.95,2775756.98,5.0,都市平地,1,1,1,1
SL0174331049,士林區,環河北路三段,西側人行道,茄苳,37,11,2022-08-27,300647.29,2775762.51,5.0,都市平地,1,1,1,1
SL0174331050,士林區,環河北路三段,西側人行道,木棉,19.8,11.4,2022-08-30,300644.3,2775757.41,5.0,都市平地,1,1,1,1
SL0174331051,士林區,環河北路三段,西側人行道,白千層,39.4,13.3,2022-08-30,300642.31,2775755.06,5.0,都市平地,1,1,1,1
